site|state	city, state	address	zip
026|MI	Ottawa Lake, MI	6158 US 223	49267
029|IN	Fremont, IN	6900 Old US 27	46737
030|IN	Greenfield, IN	2640 North 600 West	46140
031|IN	Highland, IN	8150 Indianapolis Boulevard	46322
034|IN	Remington, IN	4154 West US Highway 24	47977
035|IN	South Bend, IN	6424 West Brick Road	46628
037|IN	Whiteland, IN	2962 East 500 North	46184
039|IL	Monee, IL	6002 Monee-Manhattan Road	60449
040|WI	Oak Creek, WI	2031 West Ryan Road	53154
041|KY	Mt Sterling, KY	3060 Owingsville Road	40353
043|IA	Walcott, IA	3500 North Plainview Road	52773
044|MO	Boonville, MO	1701 Ashley Road	65233
047|KY	Georgetown, KY	259 Cherry Blossom Way	40324
048|KY	Glendale, KY	58 Glendale-Hodgenville Road	42740
049|KY	Oak Grove, KY	8190 Pembroke-Oak Grove Road	42262
050|KY	Pendleton, KY	489 Pendleton Road	40070
051|TN	Greeneville, TN	11190 Baileyton Road	37745
052|TN	La Vergne, TN	535 Waldron Road	37086
053|TN	Hurricane Mills, TN	15559 Highway 13 South	37078
056|NC	Kannapolis, NC	2825 Lane Street	28083
057|NC	Mebane, NC	1342 Trollingwood Road	27302
060|SC	Bowman, SC	2064 Homestead Road	29018
062|SC	Florence, SC	3006 North Williston Road	29506
063|SC	Piedmont, SC	110 Frontage Road	29673
066|GA	Braselton, GA	5888 Highway 53	30517
067|GA	Cartersville, GA	968 Cassville-White Road	30120
068|GA	Dublin, GA	2185 US 441	31021
071|GA	Port Wentworth, GA	7001 Highway 21	31407
075|AL	Satsuma, AL	6109 US 43 South	36572
076|AL	Tuscaloosa, AL	4416 Skyland Boulevard East	35405
077|MS	Jackson, MS	2520 South Gallatin Street	39204
081|PA	Portersville, PA	2010 New Castle Road	16051
087|FL	Jacksonville, FL	1050 US 301 South	32234
090|FL	Fort Pierce, FL	7300 West Okeechobee Road	34945
091|FL	Saint Johns, FL	1625 County Road 210 West	32259
092|FL	Ocala, FL	4255 NW Highway 326	34482
094|FL	Punta Gorda, FL	26505 Jones Loop Road	33950
095|FL	Wildwood, FL	493 East State Route 44	34785
096|FL	Okeechobee, FL	3051 State Road 60	34972
097|OH	Vandalia, OH	175 Northwoods Blvd.	45377
114|TN	Crossville, TN	2449 Genesis Road	38571
118|AR	Benton, AR	7801 Alcoa Road	72015
130|OH	Richfield, OH	5219 Brecksville Road	44286
131|IA	Osceola, IA	2010 West Clay Street	50213
133|OR	Chemult, OR	341 Damon Street 109450 Highway 97	97731
134|MN	St Cloud, MN	4231 Clearwater Road	56301
137|CA	Weed, CA	395 E. Vista Drive	96094
141|WY	Evanston, WY	289 Bear River Drive	82930
144|GA	Augusta, GA	2975 Gun Club Road	30907
145|AR	Springdale, AR	5660 West Sunset Avenue	72762
146|NY	Castleton-On-Hudson, NY	995 US Route 9	12033
147|NV	West Wendover, NV	1200 West Wendover Boulevard	89883
150|MD	Hagerstown, MD	11633 Greencastle Pike	21740
151|WA	Olympia, WA	2430 93rd Avenue SW	98512
152|IN	Memphis, IN	14013 Memphis Blue Lick Road	47143
154|CA	Lost Hills, CA	14808 Warren Street	93249
156|KY	Mortons Gap, KY	Pennyrile Parkway Exit 37	42440
157|TX	Sulphur Springs, TX	1200 South Hillcrest	75482
159|VA	Providence Forge, VA	6721 Emmaus Church Road	23140
163|NM	Lordsburg, NM	1050 East Motel Drive	88045
164|WI	Mauston, WI	1101 State Road 82 East	53948
165|IL	Effingham, IL	2500 North 3rd Street	62401
167|MO	Nevada, MO	2424 East Austin Road	64772
168|CA	Dunnigan, CA	30035 County Road 8	95937
171|IL	Oakwood, IL	503 N. Oakwood Street	61858
174|MS	New Albany, MS	500 State Highway 15 South	38652
179|MD	Hagerstown, MD	16921 Halfway Boulevard	21740
180|AZ	Bellemont, AZ	12500 West I-40	86015
190|NJ	Hampton, NJ	66 Route 173 West	8827
192|GA	Tifton, GA	4431 Old Union Road	31794
195|OR	Wasco, OR	91485 Biggs Rufus Highway	97065
196|OK	Roland, OK	302 West Ray Fine Boulevard	74954
198|IN	Plymouth, IN	10619 9A Road	46563
199|LA	Haughton, LA	490 North Elm Street	71037
200|CA	Boron, CA	5725 Highway 58	93516
206|TX	Weatherford, TX	1201 I-20 West	76087
208|MO	Pacific, MO	1475 Thornton Street	63069
209|TX	Van Horn, TX	501 Van Horn Drive	79855
210|NJ	Mahwah, NJ	230 Route 17 South	7430
211|AZ	Lake Havasu City, AZ	14750 South Highway 95	86404
213|OH	Columbus, OH	3600 Interchange Road	43204
219|TN	Knoxville, TN	7210 Straw Plains Pike	37914
222|MA	Sturbridge, MA	400 Route 15 (Haynes Street)	1566
268|IA	Walcott, IA	2975 North Plainview Road	52773
270|TN	Knoxville, TN	314 Lovell Road	37922
271|IN	Gary, IN	2501 Burr Street	46406
274|LA	Breaux Bridge, LA	2112 Rees Street	70517
275|NC	Charlotte, NC	3807 Statesville Avenue	28206
279|AZ	Rio Rico, AZ	769 East Frontage Road	85648
280|NJ	Bloomsbury, NJ	979 Route 173	8804
281|OH	Girard, OH	2786 Salt Springs Road	44420
282|CA	Barstow, CA	2591 Commerce Parkway	92311
284|MI	Monroe, MI	1200 Nadeau Road	48161
285|OH	Hebron, OH	10258 Lancaster Road SW	43025
286|OH	Eaton, OH	6141 US 127 North	45320
287|OH	Burbank, OH	10048 Avon Lake Road	44214
289|WI	Beloit, WI	3001 Milwaukee Road	53511
293|FL	Ocala, FL	2020 SW 135th Street	34473
296|MI	Dexter, MI	195 Baker Road	48130
298|PA	Drums, PA	SR 93 Box 1114	18222
299|IL	Bloomington, IL	1522 West Market Street	61701
300|LA	Hammond, LA	2111 SW Railroad Avenue	70403
302|AL	Theodore, AL	6955 Theodore Dawes Road	36582
303|OH	Napoleon, OH	905 American Road Route 24	43545
304|IN	New Haven, IN	3105 Doyle Road	46774
305|NM	Jamestown, NM	I-40 Exit 39 - PO Box 960 1 Giant Crossing I-40 Exit 39	87347
306|TX	San Antonio, TX	5619 I-10 East	78219
307|CA	North Palm Springs, CA	6605 N. Indian Canyon Drive PO Box 581236	92258
308|WY	Laramie, WY	1564 McCue Street	82072
309|OH	Caldwell, OH	44133 Fairground Road	43724
310|SC	Duncan, SC	1405 East Main Street	29334
311|PA	Erie, PA	8035 Perry Highway	16509
312|GA	Tallapoosa, GA	882 Georgia Highway 100	30176
